timestamp,SampleNro,Type,Sub,Chan,Num,Aux
2014-10-07 19:48:00.340000,9870082,N,0,0,0,
2014-10-07 19:48:00.940000,9870233,N,0,0,0,
2014-10-07 19:48:01.540000,9870383,N,0,0,0,
2014-10-07 19:48:02.160000,9870535,N,0,0,0,
2014-10-07 19:48:02.760000,9870686,N,0,0,0,
2014-10-07 19:48:03.360000,9870835,N,0,0,0,
2014-10-07 19:48:03.940000,9870983,N,0,0,0,
2014-10-07 19:48:04.540000,9871134,N,0,0,0,
2014-10-07 19:48:05.140000,9871284,N,0,0,0,
2014-10-07 19:48:05.740000,9871433,N,0,0,0,
2014-10-07 19:48:06.340000,9871582,N,0,0,0,
2014-10-07 19:48:06.940000,9871732,N,0,0,0,
2014-10-07 19:48:07.540000,9871882,N,0,0,0,
2014-10-07 19:48:08.120000,9872029,N,0,0,0,
2014-10-07 19:48:08.720000,9872177,N,0,0,0,
2014-10-07 19:48:09.320000,9872329,N,0,0,0,
2014-10-07 19:48:09.940000,9872480,N,0,0,0,
2014-10-07 19:48:10.520000,9872629,N,0,0,0,
2014-10-07 19:48:11.120000,9872779,N,0,0,0,
2014-10-07 19:48:11.740000,9872931,N,0,0,0,
2014-10-07 19:48:12.340000,9873080,N,0,0,0,
2014-10-07 19:48:12.920000,9873229,N,0,0,0,
2014-10-07 19:48:13.520000,9873378,N,0,0,0,
2014-10-07 19:48:14.140000,9873531,N,0,0,0,
2014-10-07 19:48:14.720000,9873679,N,0,0,0,
2014-10-07 19:48:15.320000,9873829,N,0,0,0,
2014-10-07 19:48:15.920000,9873978,N,0,0,0,
2014-10-07 19:48:16.540000,9874130,N,0,0,0,
2014-10-07 19:48:17.140000,9874280,N,0,0,0,
2014-10-07 19:48:17.720000,9874429,N,0,0,0,
2014-10-07 19:48:18.320000,9874578,N,0,0,0,
2014-10-07 19:48:18.920000,9874729,N,0,0,0,
2014-10-07 19:48:19.520000,9874879,N,0,0,0,
2014-10-07 19:48:20.120000,9875029,N,0,0,0,
2014-10-07 19:48:20.720000,9875179,N,0,0,0,
2014-10-07 19:48:21.320000,9875329,N,0,0,0,
2014-10-07 19:48:21.780000,9875443,r,0,0,0,
2014-10-07 19:48:22.520000,9875625,N,0,0,0,
2014-10-07 19:48:23.140000,9875780,N,0,0,0,
2014-10-07 19:48:23.740000,9875931,N,0,0,0,
2014-10-07 19:48:24.340000,9876082,N,0,0,0,
2014-10-07 19:48:24.940000,9876233,N,0,0,0,
2014-10-07 19:48:25.400000,9876348,r,0,0,0,
2014-10-07 19:48:26.140000,9876533,N,0,0,0,
2014-10-07 19:48:26.760000,9876686,N,0,0,0,
2014-10-07 19:48:27.360000,9876837,N,0,0,0,
2014-10-07 19:48:27.960000,9876987,N,0,0,0,
2014-10-07 19:48:28.560000,9877135,N,0,0,0,
2014-10-07 19:48:29.140000,9877284,N,0,0,0,
2014-10-07 19:48:29.740000,9877431,N,0,0,0,
2014-10-07 19:48:30.340000,9877583,N,0,0,0,
2014-10-07 19:48:30.940000,9877731,N,0,0,0,
2014-10-07 19:48:31.520000,9877879,N,0,0,0,
2014-10-07 19:48:32.120000,9878028,N,0,0,0,
2014-10-07 19:48:32.720000,9878177,N,0,0,0,
2014-10-07 19:48:33.320000,9878327,N,0,0,0,
2014-10-07 19:48:33.920000,9878477,N,0,0,0,
2014-10-07 19:48:34.520000,9878626,N,0,0,0,
2014-10-07 19:48:35.060000,9878762,r,0,0,0,
2014-10-07 19:48:35.700000,9878923,N,0,0,0,
2014-10-07 19:48:36.300000,9879072,N,0,0,0,
2014-10-07 19:48:36.880000,9879219,N,0,0,0,
2014-10-07 19:48:37.500000,9879370,N,0,0,0,
2014-10-07 19:48:38.080000,9879518,N,0,0,0,
2014-10-07 19:48:38.680000,9879668,N,0,0,0,
2014-10-07 19:48:39.280000,9879816,N,0,0,0,
2014-10-07 19:48:39.860000,9879962,r,0,0,0,
2014-10-07 19:48:40.480000,9880118,N,0,0,0,
2014-10-07 19:48:41.080000,9880265,N,0,0,0,
2014-10-07 19:48:41.660000,9880414,N,0,0,0,
2014-10-07 19:48:42.260000,9880563,N,0,0,0,
2014-10-07 19:48:42.860000,9880712,N,0,0,0,
2014-10-07 19:48:43.460000,9880860,N,0,0,0,
2014-10-07 19:48:44.060000,9881010,N,0,0,0,
2014-10-07 19:48:44.640000,9881157,N,0,0,0,
2014-10-07 19:48:45.240000,9881308,N,0,0,0,
2014-10-07 19:48:45.820000,9881452,N,0,0,0,
2014-10-07 19:48:46.420000,9881601,N,0,0,0,
2014-10-07 19:48:47,9881749,N,0,0,0,
2014-10-07 19:48:47.600000,9881898,N,0,0,0,
2014-10-07 19:48:48.200000,9882046,N,0,0,0,
2014-10-07 19:48:48.780000,9882194,N,0,0,0,
2014-10-07 19:48:49.400000,9882345,N,0,0,0,
2014-10-07 19:48:49.980000,9882493,N,0,0,0,
2014-10-07 19:48:50.580000,9882641,N,0,0,0,
2014-10-07 19:48:51.180000,9882790,N,0,0,0,
2014-10-07 19:48:51.760000,9882938,N,0,0,0,
2014-10-07 19:48:52.360000,9883088,N,0,0,0,
2014-10-07 19:48:52.960000,9883236,N,0,0,0,
2014-10-07 19:48:53.540000,9883384,N,0,0,0,
2014-10-07 19:48:54.140000,9883534,N,0,0,0,
2014-10-07 19:48:54.740000,9883681,N,0,0,0,
2014-10-07 19:48:55.340000,9883830,N,0,0,0,
2014-10-07 19:48:55.920000,9883978,N,0,0,0,
2014-10-07 19:48:56.520000,9884128,N,0,0,0,
2014-10-07 19:48:57.100000,9884274,N,0,0,0,
2014-10-07 19:48:57.700000,9884423,N,0,0,0,
2014-10-07 19:48:58.300000,9884573,N,0,0,0,
2014-10-07 19:48:58.900000,9884722,N,0,0,0,
2014-10-07 19:48:59.500000,9884870,N,0,0,0,
2014-10-07 19:49:00.080000,9885017,N,0,0,0,
2014-10-07 19:49:00.680000,9885166,N,0,0,0,
2014-10-07 19:49:01.280000,9885315,N,0,0,0,
2014-10-07 19:49:01.860000,9885463,N,0,0,0,
2014-10-07 19:49:02.460000,9885611,N,0,0,0,
2014-10-07 19:49:03.060000,9885760,N,0,0,0,
2014-10-07 19:49:03.640000,9885908,N,0,0,0,
2014-10-07 19:49:04.240000,9886055,N,0,0,0,
2014-10-07 19:49:04.820000,9886204,N,0,0,0,
2014-10-07 19:49:05.420000,9886351,N,0,0,0,
2014-10-07 19:49:06.020000,9886500,N,0,0,0,
2014-10-07 19:49:06.600000,9886647,N,0,0,0,
2014-10-07 19:49:07.200000,9886797,N,0,0,0,
2014-10-07 19:49:07.800000,9886947,N,0,0,0,
2014-10-07 19:49:08.400000,9887097,N,0,0,0,
2014-10-07 19:49:09,9887246,N,0,0,0,
2014-10-07 19:49:09.600000,9887395,N,0,0,0,
2014-10-07 19:49:10.200000,9887546,N,0,0,0,
2014-10-07 19:49:10.800000,9887697,N,0,0,0,
2014-10-07 19:49:11.400000,9887848,N,0,0,0,
2014-10-07 19:49:12,9887999,N,0,0,0,
2014-10-07 19:49:12.620000,9888150,N,0,0,0,
2014-10-07 19:49:13.220000,9888300,N,0,0,0,
2014-10-07 19:49:13.800000,9888447,N,0,0,0,
2014-10-07 19:49:14.400000,9888597,N,0,0,0,
2014-10-07 19:49:15,9888747,N,0,0,0,
2014-10-07 19:49:15.600000,9888899,N,0,0,0,
2014-10-07 19:49:16.200000,9889048,N,0,0,0,
2014-10-07 19:49:16.800000,9889197,N,0,0,0,
2014-10-07 19:49:17.400000,9889346,N,0,0,0,
2014-10-07 19:49:17.980000,9889494,N,0,0,0,
2014-10-07 19:49:18.580000,9889643,N,0,0,0,
2014-10-07 19:49:19.180000,9889792,N,0,0,0,
2014-10-07 19:49:19.780000,9889942,N,0,0,0,
2014-10-07 19:49:20.380000,9890093,N,0,0,0,
